#SUBSTART
     -0.945     -2.289     -0.920     2.642     0.000
     0.465     1.201     3.401     3.670     1.000
     0.083     -0.573     1.405     1.526     -1.000
     0.534     -0.147     24.669     24.676     -1.000
     -0.517     0.773     -3.124     3.392     0.000
     -0.384     0.481     -1.625     1.975     -1.000
     12.130     -68.716     -78.709     105.187     1.000
     2.521     -14.600     -17.246     22.736     -1.000
     -4.349     27.590     -127.375     130.401     -1.000
     0.602     -0.527     0.451     0.929     -1.000
     0.198     -0.010     -1.852     2.086     0.000
     -2.543     -1.109     -5.087     5.870     0.000
     -0.002     0.053     -0.070     0.165     1.000
     1.325     0.315     25.989     26.025     -1.000
     0.166     0.962     10.660     10.706     1.000
     0.185     0.019     0.333     1.013     -1.000
     0.155     0.093     0.141     0.268     -1.000
     -0.175     -0.180     -0.446     0.530     1.000
     -0.067     0.163     -6.340     6.344     -1.000
     1.063     0.962     -42.025     42.052     1.000
     1.738     0.747     -70.015     70.041     -1.000
     -0.234     0.689     -4.414     4.571     0.000
     -0.069     -0.031     -3.434     3.561     0.000
     0.366     0.226     -0.441     0.631     -1.000
     0.091     0.467     -2.492     2.585     1.000
     1.407     -0.172     -21.352     21.399     1.000
     0.684     -0.277     -5.304     5.357     -1.000
     -0.231     -0.053     -0.801     0.847     1.000
     -0.122     0.183     20.952     20.954     -1.000
     -0.044     0.576     16.429     16.440     -1.000
     -0.491     0.360     50.134     50.138     1.000
     -0.581     0.051     9.910     9.929     1.000
     -1.445     -0.051     37.609     37.648     0.000
     -0.832     -0.495     22.124     22.165     0.000
     -0.379     -0.684     22.136     22.170     0.000
     -0.220     -0.587     16.332     16.344     -1.000
     -0.188     -0.312     3.092     3.116     -1.000
     -0.449     -1.489     4.879     5.144     1.000
     0.280     -0.167     0.371     0.513     -1.000
     -0.114     -0.277     0.359     0.488     1.000
     0.401     0.742     -0.165     0.871     -1.000
     0.091     0.220     0.255     0.376     1.000
     0.097     0.273     0.447     0.726     -1.000
     -0.360     0.334     -46.275     46.278     1.000
     0.250     -0.045     -4.131     4.168     1.000
     -0.173     0.287     1.356     1.404     -1.000
     0.195     0.155     -0.272     0.394     1.000
     -0.026     -0.448     4.239     4.265     1.000
     -0.295     -0.492     8.035     8.110     0.000
     -0.377     0.220     27.599     27.619     0.000
     -2.047     0.546     106.053     106.079     0.000
     0.058     -0.484     8.459     8.474     -1.000
     -0.102     -0.266     0.223     0.388     -1.000
     0.586     0.535     8.779     8.816     1.000
     -0.092     0.074     0.926     0.943     -1.000
     -0.060     -0.254     0.864     0.914     -1.000
     -1.008     0.947     9.978     10.075     1.000
     -0.244     0.133     0.830     0.886     -1.000
     -0.024     0.126     0.331     0.381     1.000
     -0.186     -0.067     0.430     0.493     -1.000
     0.591     1.205     -1.025     1.695     1.000
     -0.191     0.477     -0.191     0.566     -1.000
     0.064     -0.046     -4.706     4.708     1.000
     -0.834     0.182     -4.993     5.067     -1.000
     -0.347     0.326     -5.245     5.269     1.000
     -0.583     -0.238     -108.218     108.220     -1.000
     -0.224     0.099     -54.070     54.073     1.000
     0.207     -0.758     -55.787     55.793     1.000
     0.317     -0.093     -4.942     4.955     1.000
     -0.310     -0.434     -13.344     13.356     -1.000
     0.168     -0.767     -6.490     6.539     -1.000
     0.180     -0.494     -8.193     8.211     1.000
     0.729     -0.992     -12.353     12.415     -1.000
     0.408     0.112     -5.231     5.250     -1.000
     -0.514     -0.444     -22.571     22.586     1.000
     0.813     -0.953     -29.551     29.581     -1.000
     0.310     0.582     -38.383     38.389     1.000
     0.169     -0.542     -24.151     24.158     -1.000
     0.359     -0.155     -30.431     30.437     1.000
     -0.537     0.291     -67.835     67.839     -1.000
     0.503     -0.209     -16.434     16.444     1.000
     0.281     0.102     -11.463     11.468     -1.000
     0.101     -0.554     -5.068     5.101     1.000
     0.174     -0.753     -10.150     10.180     -1.000
     -0.094     0.279     0.120     0.347     -1.000
     0.544     -0.824     11.071     11.116     -1.000
     0.056     0.305     6.651     6.660     1.000
     0.050     -0.335     11.619     11.624     -1.000
     -0.033     -0.636     78.115     78.120     -1.000
     -0.349     -0.610     1717.568     1717.568     0.000
     0.043     0.863     -2.187     2.404     0.000
     -0.046     0.725     -4.604     4.663     -1.000
     0.433     0.623     21.378     21.397     1.000
     0.808     0.220     18.434     18.453     -1.000
     2.669     0.034     75.577     75.624     1.000
     2.092     0.667     59.809     59.850     -1.000
     2.401     -0.139     59.300     59.349     1.000
     0.216     0.781     -0.743     1.108     1.000
     -0.646     -0.008     -0.343     0.745     -1.000
     -0.292     -0.381     -0.693     0.855     1.000
     -0.024     -0.223     0.238     0.355     -1.000
     -0.439     -0.163     -1.016     1.460     1.000
     0.087     0.061     -0.225     0.286     1.000
     -0.606     -0.039     -1.883     2.190     -1.000
     0.229     0.393     -1.086     1.186     1.000
     0.261     2.244     -8.035     8.347     -1.000
     0.553     -4.530     -4.439     6.368     1.000
     1.815     -10.711     -12.996     16.939     -1.000
     0.512     -5.912     -6.840     9.057     1.000
     1.782     -10.187     -11.199     15.245     -1.000
     -0.142     -3.295     -3.676     4.940     1.000
     -0.781     3.948     -14.698     15.247     0.000
